Note,This file is generated by the map editor. Don't edit it by hand because your changes will be overwritten. See SourceMap.xml.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RadioactivesDeposit,3098.756836,-2143.223633,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetalDeposit,2081.047607,-2353.877686,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seed,2,2478.430908,-2708.910400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relay,2478.430908,-2708.910400,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seed,3,2566.187012,-2036.388550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relay,2566.187012,-2036.388550,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seed,4,3556.500488,-2322.104492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relay,3556.500488,-2322.104492,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seed,5,3635.954102,-3774.919678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relay,3635.954102,-3774.919678,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlayerSeed,674.545410,336.413330,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell,-1878.570557,2855.291748,0,2,-1.000000,20000.000000,1025,,3,24,-1830.724854,2820.795166,-1904.376465,2745.171875,6,-1904.376465,2745.171875,-1911.744507,2743.370605,1,-1911.744507,2743.370605,-1958.898560,2913.278320,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,4,-1958.898560,2913.278320,-1830.724854,2820.795166,-1904.376465,2745.171875,-1911.744507,2743.370605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,-1997.853516,2822.187500,1,2,-1.000000,20000.000000,0,,6,10,-4028.362061,1906.970337,-4096.000000,1895.157227,8,-2187.846436,2459.847412,-4028.362061,1906.970337,6,-1911.744507,2743.370605,-2187.846436,2459.847412,0,-1958.898560,2913.278320,-1911.744507,2743.370605,25,-1958.898560,2913.278320,-1911.744507,2743.370605,3,-4096.000000,3481.200195,-1962.518066,2926.312988,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,7,-4096.000000,3481.200195,-1962.518066,2926.312988,-1958.898560,2913.278320,-1911.744507,2743.370605,-2187.846436,2459.847412,-4028.362061,1906.970337,-4096.000000,1895.157227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,-1850.966064,2961.427979,2,2,-1.000000,20000.000000,1025,,2,22,-1854.779297,3050.729492,-1799.407715,2970.384033,3,-1937.867676,2946.427002,-1854.779297,3050.729492,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,3,-1854.779297,3050.729492,-1799.407715,2970.384033,-1937.867676,2946.427002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,-1942.644531,3034.459961,3,2,-1.000000,20000.000000,0,,7,23,-1937.897339,2946.360352,-1950.419067,2930.641602,2,-1937.897339,2946.360352,-1950.419067,2930.641602,25,-1950.419067,2930.641602,-1962.518066,2926.312988,22,-1852.486084,3071.165283,-1854.779419,3050.729492,13,-2526.597900,4048.829834,-1852.486084,3071.165283,40,-2566.373535,4096.000000,-2526.597900,4048.829834,1,-1962.518066,2926.312988,-4096.000000,3481.172363,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,9,-1962.518066,2926.312988,-4096.000000,3481.172363,-4096.000000,4096.000000,-2566.373535,4096.000000,-2526.597900,4048.829834,-1852.486084,3071.165283,-1854.779419,3050.729492,-1937.897339,2946.360352,-1950.419067,2930.641602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,-1747.588623,2671.041260,4,2,-1.000000,20000.000000,1025,,4,36,-1752.248779,2600.482422,-1777.954224,2585.572998,27,-1752.248779,2600.482422,-1777.954224,2585.572998,24,-1795.592896,2711.263916,-1794.245361,2711.884766,6,-1777.954224,2585.572998,-1795.592896,2711.263916,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,-1794.245361,2711.884766,-1700.950928,2630.242188,-1752.248779,2600.482422,-1777.954224,2585.572998,-1795.592896,2711.263916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,-1794.979736,2773.888916,5,2,-1.000000,20000.000000,1025,,4,37,-1679.105713,2800.604004,-1715.979248,2747.958740,26,-1810.579590,2841.487061,-1679.105713,2800.604004,25,-1827.944092,2823.664795,-1810.579590,2841.487061,35,-1715.979248,2747.958740,-1763.325073,2726.141113,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,-1763.325073,2726.141113,-1827.944092,2823.664795,-1810.579590,2841.487061,-1679.105713,2800.604004,-1715.979248,2747.958740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,-1830.671875,2659.381836,6,2,-1.000000,20000.000000,0,,7,24,-1904.376465,2745.171875,-1795.593018,2711.263916,0,-1911.744507,2743.370605,-1904.376465,2745.171875,4,-1795.593018,2711.263916,-1777.954224,2585.572998,8,-1939.590088,2460.496826,-2187.846436,2459.847412,30,-1809.296997,2536.067139,-1939.590088,2460.496826,36,-1777.954224,2585.572998,-1809.296997,2536.067139,1,-2187.846436,2459.847412,-1911.744507,2743.370605,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,7,-2187.846436,2459.847412,-1911.744507,2743.370605,-1904.376465,2745.171875,-1795.593018,2711.263916,-1777.954224,2585.572998,-1809.296997,2536.067139,-1939.590088,2460.496826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,-1684.212158,2271.258545,7,2,-1.000000,20000.000000,1025,,5,29,-1633.993408,2307.141846,-1612.695923,2294.326172,62,-1612.695923,2294.326172,-1611.333862,2272.312012,34,-1684.325317,2194.804688,-1752.246216,2191.721436,59,-1611.333862,2272.312012,-1684.325317,2194.804688,8,-1752.246216,2191.721436,-1754.090332,2221.332764,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,6,-1752.246216,2191.721436,-1754.090332,2221.332764,-1633.993408,2307.141846,-1612.695923,2294.326172,-1611.333862,2272.312012,-1684.325317,2194.804688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,-1829.632813,2262.184570,8,2,-1.000000,20000.000000,0,,8,10,-2414.266113,1973.604736,-4028.361328,1906.970459,19,-1866.688721,2070.207520,-2414.266113,1973.604736,61,-1762.361206,2353.884033,-1754.090332,2221.332764,30,-1939.590088,2460.496826,-1762.361206,2353.884033,34,-1752.246216,2191.721436,-1866.688721,2070.207520,7,-1762.361206,2353.884033,-1754.090332,2221.332764,6,-2187.846191,2459.847412,-1939.590088,2460.496826,1,-4028.361328,1906.970459,-2187.846191,2459.847412,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,8,-2187.846191,2459.847412,-1939.590088,2460.496826,-1762.361206,2353.884033,-1754.090332,2221.332764,-1752.246216,2191.721436,-1866.688721,2070.207520,-2414.266113,1973.604736,-4028.361328,1906.970459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,-1696.560303,1716.387939,9,2,-1.000000,20000.000000,1025,,4,15,-1708.182373,1659.585449,-1763.634888,1653.825195,10,-1763.634888,1653.825195,-1744.575195,1772.926392,18,-1744.575195,1772.926392,-1689.785522,1759.364990,50,-1744.575195,1772.926392,-1689.785522,1759.364990,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,-1689.785522,1759.364990,-1687.833740,1758.881714,-1708.182373,1659.585449,-1763.634888,1653.825195,-1744.575195,1772.926392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,-1807.835938,1734.195313,10,2,-1.000000,20000.000000,0,,7,15,-1763.634888,1653.825195,-1794.275757,1624.410278,9,-1744.575195,1772.926392,-1763.634888,1653.825195,16,-1794.275757,1624.410278,-4096.000000,1385.363770,18,-1764.601318,1812.801880,-1744.575195,1772.926392,19,-2414.266113,1973.604736,-1764.601318,1812.801880,8,-4028.361816,1906.970337,-2414.266113,1973.604736,1,-4096.000000,1895.157715,-4028.361816,1906.970337,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,8,-4096.000000,1385.363770,-4096.000000,1895.157715,-4028.361816,1906.970337,-2414.266113,1973.604736,-1764.601318,1812.801880,-1744.575195,1772.926392,-1763.634888,1653.825195,-1794.275757,1624.410278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,-1686.624756,3118.819580,11,2,-1.000000,20000.000000,1025,,3,45,-1713.681641,3226.424805,-1704.250854,3216.926758,13,-1747.829834,3082.228516,-1713.681641,3226.424805,12,-1668.099854,3015.881836,-1747.829834,3082.228516,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,4,-1747.829834,3082.228516,-1713.681641,3226.424805,-1704.250854,3216.926758,-1668.099854,3015.881836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,-1772.705811,3015.389404,12,2,-1.000000,20000.000000,1025,,6,26,-1647.037354,2964.293213,-1766.877075,2951.755615,47,-1660.180420,3009.296631,-1643.538208,2970.602295,46,-1747.829956,3082.228516,-1668.110474,3015.896240,11,-1747.829956,3082.228516,-1668.110474,3015.896240,13,-1778.525513,3078.979004,-1747.829956,3082.228516,64,-1643.538208,2970.602295,-1647.037354,2964.293213,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,7,-1643.538208,2970.602295,-1647.037354,2964.293213,-1766.877075,2951.755615,-1778.525513,3078.979004,-1747.829956,3082.228516,-1668.110474,3015.896240,-1660.180420,3009.296631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,-1786.124023,3142.382813,13,2,-1.000000,20000.000000,0,,6,11,-1713.681641,3226.424805,-1747.829834,3082.228516,45,-1715.375732,3231.843750,-1713.681641,3226.424805,40,-2526.598145,4048.830078,-1715.375732,3231.843750,22,-1778.509155,3078.981689,-1852.486084,3071.165283,12,-1778.509155,3078.981689,-1852.486084,3071.165283,3,-1852.486084,3071.165283,-2526.598145,4048.830078,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,6,-2526.598145,4048.830078,-1715.375732,3231.843750,-1713.681641,3226.424805,-1747.829834,3082.228516,-1778.509155,3078.981689,-1852.486084,3071.165283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,-1693.539795,1493.098877,14,3,-1.000000,20000.000000,1025,,3,48,-1727.974854,1552.602905,-1654.027344,1547.112549,16,-1756.661499,1428.174438,-1727.974854,1552.602905,20,-1739.587646,1430.071045,-1756.661499,1428.174438,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,4,-1739.587646,1430.071045,-1756.661499,1428.174438,-1727.974854,1552.602905,-1654.027344,1547.112549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,-1685.135498,1606.381104,15,3,-1.000000,20000.000000,1025,,5,49,-1763.634888,1653.825195,-1708.202881,1659.582153,9,-1763.634888,1653.825195,-1708.202881,1659.582153,10,-1794.275757,1624.410278,-1763.634888,1653.825195,16,-1750.120605,1576.565063,-1794.275757,1624.410278,51,-1647.658936,1665.859619,-1620.246460,1636.169800,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,6,-1647.658936,1665.859619,-1620.246460,1636.169800,-1750.120605,1576.565063,-1794.275757,1624.410278,-1763.634888,1653.825195,-1708.202881,1659.582153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,-1784.986328,1514.181641,16,3,-1.000000,20000.000000,0,,6,15,-1794.275757,1624.410278,-1750.083618,1576.550781,10,-4096.000000,1385.363770,-1794.275757,1624.410278,48,-1794.275757,1624.410278,-1750.083618,1576.550781,14,-1727.974854,1552.602905,-1756.661499,1428.174438,20,-1756.661499,1428.174438,-1797.176758,1397.012939,21,-1797.176758,1397.012939,-4096.000000,1141.015625,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,7,-4096.000000,1141.015625,-4096.000000,1385.363770,-1794.275757,1624.410278,-1750.083618,1576.550781,-1727.974854,1552.602905,-1756.661499,1428.174438,-1797.176758,1397.012939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,-1662.806396,1908.374268,17,2,-1.000000,20000.000000,1025,,4,58,-1611.151611,1910.898315,-1607.570068,1847.056641,18,-1657.787842,1853.072144,-1711.892822,1859.558594,50,-1657.787842,1853.072144,-1711.892822,1859.558594,19,-1711.892822,1859.558594,-1714.514648,1905.834351,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,-1711.892822,1859.558594,-1714.514648,1905.834351,-1611.151611,1910.898315,-1607.570068,1847.056641,-1657.787842,1853.072144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,-1675.731201,1800.540283,18,2,-1.000000,20000.000000,1025,,4,10,-1744.575195,1772.926392,-1764.601318,1812.801880,9,-1689.820801,1759.373901,-1744.575195,1772.926392,17,-1711.892822,1859.558594,-1657.787842,1853.072266,19,-1764.601318,1812.801880,-1711.892822,1859.558594,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,-1764.601318,1812.801880,-1711.892822,1859.558594,-1657.787842,1853.072266,-1689.820801,1759.373901,-1744.575195,1772.926392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,-1766.177734,1902.500000,19,2,-1.000000,20000.000000,0,,7,17,-1719.576294,1994.906860,-1714.514648,1905.834351,57,-1719.576294,1994.906860,-1714.514648,1905.834351,18,-1711.892822,1859.558594,-1764.601318,1812.801880,10,-1764.601318,1812.801880,-2414.266113,1973.604736,31,-1736.290649,2016.585693,-1719.576294,1994.906860,34,-1866.688721,2070.207520,-1736.290649,2016.585693,8,-2414.266113,1973.604736,-1866.688721,2070.207520,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,7,-1866.688721,2070.207520,-1736.290649,2016.585693,-1719.576294,1994.906860,-1714.514648,1905.834351,-1711.892822,1859.558594,-1764.601318,1812.801880,-2414.266113,1973.604736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,-1680.801025,1378.706299,20,3,-1.000000,20000.000000,1025,,6,14,-1739.612549,1430.072876,-1657.902832,1439.159058,16,-1797.176758,1397.012939,-1756.661499,1428.174438,41,-1739.612549,1430.072876,-1657.902832,1439.159058,44,-1657.902832,1439.159058,-1622.333008,1409.154053,53,-1622.333008,1409.154053,-1629.026367,1385.346191,21,-1762.986816,1368.181519,-1797.176758,1397.012939,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,7,-1797.176758,1397.012939,-1756.661499,1428.174438,-1739.612549,1430.072876,-1657.902832,1439.159058,-1622.333008,1409.154053,-1629.026367,1385.346191,-1762.986816,1368.181519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,-1759.508789,1285.396484,21,3,-1.000000,20000.000000,0,,5,69,-1736.705200,1011.378845,-4096.000000,-1576.118896,43,-1762.999268,1368.191040,-1660.660889,1281.867676,20,-1762.999268,1368.191040,-1660.660889,1281.867676,16,-4096.000000,1141.015625,-1797.176758,1397.012939,55,-1660.660889,1281.867676,-1736.705200,1011.378845,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,6,-4096.000000,1141.015625,-1797.176758,1397.012939,-1762.999268,1368.191040,-1660.660889,1281.867676,-1736.705200,1011.378845,-4096.000000,-1576.118896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,-1772.705811,3015.389404,22,2,-1.000000,20000.000000,1025,,5,23,-1785.236694,2949.831787,-1799.407715,2970.384033,26,-1766.866455,2951.754395,-1785.236694,2949.831787,2,-1785.236694,2949.831787,-1799.407715,2970.384033,13,-1852.486084,3071.165283,-1778.509155,3078.981934,3,-1854.779297,3050.729492,-1852.486084,3071.165283,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,6,-1854.779297,3050.729492,-1852.486084,3071.165283,-1778.509155,3078.981934,-1766.866455,2951.754395,-1785.236694,2949.831787,-1799.407715,2970.384033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,-1850.966064,2961.427979,23,2,-1.000000,20000.000000,1025,,4,25,-1826.325195,2898.379395,-1950.419067,2930.641602,26,-1785.236694,2949.831787,-1826.325195,2898.379395,22,-1799.398560,2970.367188,-1785.236694,2949.831787,3,-1950.419067,2930.641602,-1937.897339,2946.360352,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,-1950.419067,2930.641602,-1937.897339,2946.360352,-1799.398560,2970.367188,-1785.236694,2949.831787,-1826.325195,2898.379395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
